Register/Table,Field,Description,Width,Number of entries,Field start bit,Start address,End address
Core Version,,,32,1,,0,0
,version,Version of the core,32,,0,,
Buffer Free,,,11,1,,1,1
,cells,Number of free cells,11,,0,,
Packet counter latch,,,1,1,,2,2
,enable,When set to one the packet counter registers will be syncronously updated. The enable bit is then cleared.,1,,0,,
Drain Port,,,5,1,,3,3
,drainPort,The egress port to be drained. Only valid if drainEnable is set,4,,0,,
,drainEnable,"If set, drain queue is enabled",1,,4,,
Drain Port Drop,,,32,12,,4,15
,packets,The number of dropped packets,32,,0,,
Packet Length Reference: RX 0,,,24,1,,16,16
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 0,,,24,1,,17,17
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 0,,,24,1,,18,18
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 0,,,24,1,,19,19
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 0,,,24,1,,20,20
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 0,,,24,1,,21,21
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 1,,,24,1,,22,22
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 1,,,24,1,,23,23
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 1,,,24,1,,24,24
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 1,,,24,1,,25,25
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 1,,,24,1,,26,26
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 1,,,24,1,,27,27
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 2,,,24,1,,28,28
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 2,,,24,1,,29,29
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 2,,,24,1,,30,30
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 2,,,24,1,,31,31
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 2,,,24,1,,32,32
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 2,,,24,1,,33,33
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 3,,,24,1,,34,34
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 3,,,24,1,,35,35
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 3,,,24,1,,36,36
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 3,,,24,1,,37,37
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 3,,,24,1,,38,38
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 3,,,24,1,,39,39
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 4,,,24,1,,40,40
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 4,,,24,1,,41,41
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 4,,,24,1,,42,42
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 4,,,24,1,,43,43
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 4,,,24,1,,44,44
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 4,,,24,1,,45,45
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 5,,,24,1,,46,46
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 5,,,24,1,,47,47
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 5,,,24,1,,48,48
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 5,,,24,1,,49,49
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 5,,,24,1,,50,50
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 5,,,24,1,,51,51
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 6,,,24,1,,52,52
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 6,,,24,1,,53,53
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 6,,,24,1,,54,54
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 6,,,24,1,,55,55
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 6,,,24,1,,56,56
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 6,,,24,1,,57,57
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 7,,,24,1,,58,58
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 7,,,24,1,,59,59
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 7,,,24,1,,60,60
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 7,,,24,1,,61,61
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 7,,,24,1,,62,62
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 7,,,24,1,,63,63
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 8,,,24,1,,64,64
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 8,,,24,1,,65,65
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 8,,,24,1,,66,66
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 8,,,24,1,,67,67
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 8,,,24,1,,68,68
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 8,,,24,1,,69,69
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 9,,,24,1,,70,70
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 9,,,24,1,,71,71
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 9,,,24,1,,72,72
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 9,,,24,1,,73,73
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 9,,,24,1,,74,74
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 9,,,24,1,,75,75
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 10,,,24,1,,76,76
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 10,,,24,1,,77,77
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 10,,,24,1,,78,78
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 10,,,24,1,,79,79
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 10,,,24,1,,80,80
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 10,,,24,1,,81,81
,packets,Number of packets,24,,0,,
Packet Length Reference: RX 11,,,24,1,,82,82
,bytes,Number of bytes,24,,0,,
Short Packet Counter: RX 11,,,24,1,,83,83
,packets,Number of packets,24,,0,,
Long Packet Counter: RX 11,,,24,1,,84,84
,packets,Number of packets,24,,0,,
Packet Length Reference: TX 11,,,24,1,,85,85
,bytes,Number of bytes,24,,0,,
Short Packet Counter: TX 11,,,24,1,,86,86
,packets,Number of packets,24,,0,,
Long Packet Counter: TX 11,,,24,1,,87,87
,packets,Number of packets,24,,0,,
